x,y
0.694578,3.514067
0.445358,9.065755
0.117261,5.263970
-2.961663,0.534054
0.301754,8.739979
2.810031,-1.168694
-0.611642,-6.367214
-2.904976,0.768007
-1.537486,1.115232
2.678702,-2.490997
2.376068,-0.063735
-0.157279,-6.085901
-2.297058,-0.626975
-2.527154,1.756417
2.896725,-0.840292
-2.613264,1.858415
-0.063100,-2.745299
-0.545960,-6.903487
1.590619,0.645101
-2.564913,0.482619
-0.009117,0.278543
2.175577,1.395272
-0.528154,-7.395973
1.660867,1.294787
0.268256,8.875871
-1.876143,-3.346074
1.639423,1.270258
-1.490421,1.992905
0.635355,5.416916
-1.319867,4.566718
2.983187,0.290372
-1.098418,6.934851
-1.131687,7.367101
-0.146639,-5.434658
-0.755139,-0.589285
1.047793,-6.550630
0.436620,8.779491
-0.500664,-8.097686
-1.968199,-4.934435
-2.126822,-2.113015
-1.406125,2.868350
2.776872,-0.889131
-0.098083,-3.511406
-0.241260,-8.073233
0.867911,-2.912824
-0.725764,-2.065895
0.846410,-2.431125
2.907202,-0.651433
0.196254,7.241844
-0.860779,2.950095
0.125335,4.340150
0.031625,0.948317
-1.248050,6.242113
-1.856955,-4.837531
1.275374,-6.833025
-0.018121,-0.550704
-1.466854,2.987150
1.597611,0.324215
2.502842,-1.559497
0.502250,9.234957
-2.650455,0.677840
0.296609,9.542024
0.875314,-3.771846
1.872434,4.121328
-2.102378,-2.837117
2.188330,2.177779
0.381542,9.740723
-0.360958,-9.802952
-2.938047,0.717463
-1.899747,-4.185250
-1.330535,5.784142
2.570282,-1.963283
-0.690798,-2.766186
0.248362,8.120199
0.805760,-1.292895
1.584452,0.948050
-2.045026,-3.919649
-2.242202,-1.836669
1.031570,-6.418166
-2.010080,-3.479164
2.667904,-1.059491
-0.706089,-2.216043
1.429454,-3.504856
-1.668701,-1.967717
-1.258705,6.192755
2.509597,-2.110289
-1.915829,-4.073079
-0.463684,-10.067792
2.557160,-1.501778
-1.614352,-1.440200
0.750350,0.848192
-1.992317,-3.464539
-1.773859,-3.143668
-1.571087,0.567949
2.494347,-1.904755
-2.382232,0.365025
0.068497,3.254897
-1.923907,-4.580555
-1.728700,-3.384183
-2.685589,1.257489
-1.493595,1.850752
-2.786972,0.808384
-2.202908,-1.388271
-0.983462,5.160654
1.011347,-7.739679
-1.729663,-2.712240
-1.739520,-2.997526
1.978758,3.775991
1.636567,2.065541
0.779264,0.008565
-0.848637,1.818805
-1.450999,2.777999
1.888203,3.380827
0.779931,-0.026198
-2.324997,-0.650841
-2.717538,1.667244
-2.738157,1.209969
-1.235252,6.321154
0.886365,-3.912428
-1.133868,7.908362
2.764769,-1.329575
-0.560363,-6.904992
2.798367,-0.791367
1.932401,4.302416
-1.482852,1.913913
0.669922,3.943256
-1.965155,-2.468556
1.213043,-7.345508
-2.443338,0.516002
1.339442,-4.652171
1.928740,4.100021
1.020905,-5.719300
-2.607194,0.705989
-1.767883,-3.763470
-2.636986,1.591938
1.901107,3.299873
-2.990340,1.566890
-0.423444,-9.735986
-0.876465,2.507702
-1.866344,-3.956296
1.215754,-6.607547
2.613268,-0.710987
-2.437043,0.927403
-0.859258,2.257033
0.543574,7.926951
2.888582,-0.695799
-2.691127,1.537834
1.091219,-6.126229
-0.578659,-6.916445
0.879320,-3.632380
1.736536,3.275355
2.805838,-0.961206
0.021954,0.007619
0.836299,-1.594137
1.003841,-6.647090
2.205966,1.463863
-2.994867,0.464582
2.854854,-1.526793
-2.753416,1.608523
2.487028,-1.106989
1.705897,2.232101
-2.103579,-2.950566
2.439216,-0.480314
-1.071184,6.587352
-2.350640,-0.027214
-1.971577,-3.586848
-2.803511,1.807772
0.018375,-0.244725
-2.105640,-2.482366
-0.497425,-9.376558
-0.547754,-7.199132
-2.045828,-2.845365
-2.078424,-2.561688
0.482967,8.925027
-2.708347,1.037075
0.428379,9.503133
1.477512,-2.459998
1.065893,-6.166071
-0.669136,-3.686536
-2.817501,1.786422
-2.310984,-0.472054
-1.829514,-4.312997
-1.214663,7.001724
-2.497992,1.304299
-1.766373,-2.303617
-0.598422,-5.894123
0.241197,8.398330
2.685243,-2.170057
-1.358227,4.579160
-2.316293,-1.096417
0.165901,7.366136
1.001692,-4.615998
-0.244842,-7.724017
0.117124,5.076414
2.456583,-0.686240
-0.643019,-4.731097
2.052239,2.646856
-1.527454,1.267150
1.590107,0.224787
-0.903521,4.415488
